# batch      rmse_tst    rmse_trn    rmse_e_tst  rmse_e_trn    rmse_f_tst  rmse_f_trn         lr
  18500      1.94e+00    1.69e+00      1.24e-02    1.33e-02      6.61e-02    5.76e-02    8.6e-04
  18600      1.97e+00    1.78e+00      1.05e-02    1.02e-02      6.71e-02    6.08e-02    8.6e-04
  18700      2.07e+00    2.06e+00      3.19e-03    2.48e-03      7.06e-02    7.04e-02    8.6e-04
  18800      1.92e+00    1.82e+00      1.90e-02    1.95e-02      6.54e-02    6.21e-02    8.6e-04
  18900      2.47e+00    2.38e+00      2.42e-02    2.51e-02      8.44e-02    8.12e-02    8.6e-04
  19000      1.98e+00    1.84e+00      6.88e-04    7.22e-04      6.77e-02    6.30e-02    8.6e-04
  19100      1.99e+00    1.88e+00      1.73e-02    1.69e-02      6.78e-02    6.42e-02    8.6e-04
  19200      2.20e+00    2.12e+00      4.75e-02    4.74e-02      7.46e-02    7.18e-02    8.6e-04
  19300      1.88e+00    1.85e+00      6.65e-03    6.95e-03      6.41e-02    6.30e-02    8.6e-04
  19400      2.01e+00    2.03e+00      2.14e-02    2.20e-02      6.84e-02    6.90e-02    8.6e-04
  19500      2.70e+00    2.55e+00      1.90e-02    1.94e-02      9.20e-02    8.69e-02    8.6e-04
  19600      1.99e+00    1.90e+00      9.67e-03    1.03e-02      6.79e-02    6.48e-02    8.6e-04
  19700      1.93e+00    1.72e+00      7.88e-03    9.11e-03      6.59e-02    5.88e-02    8.6e-04
  19800      1.95e+00    1.83e+00      4.55e-02    4.49e-02      6.61e-02    6.19e-02    8.6e-04
  19900      2.00e+00    2.02e+00      4.72e-03    5.20e-03      6.82e-02    6.91e-02    8.6e-04
  20000      1.93e+00    1.75e+00      2.76e-03    2.18e-03      6.75e-02    6.12e-02    8.1e-04
  20100      1.80e+00    1.76e+00      1.35e-02    1.31e-02      6.29e-02    6.17e-02    8.1e-04
  20200      1.92e+00    1.92e+00      8.62e-03    8.81e-03      6.72e-02    6.71e-02    8.1e-04
  20300      1.83e+00    1.86e+00      1.81e-02    1.83e-02      6.41e-02    6.51e-02    8.1e-04
  20400      1.90e+00    1.95e+00      3.27e-03    3.73e-03      6.65e-02    6.82e-02    8.1e-04
  20500      1.97e+00    1.97e+00      1.36e-02    1.44e-02      6.89e-02    6.89e-02    8.1e-04
  20600      1.99e+00    1.93e+00      3.28e-02    3.19e-02      6.94e-02    6.74e-02    8.1e-04
  20700      2.07e+00    2.04e+00      2.26e-02    2.43e-02      7.25e-02    7.14e-02    8.1e-04
  20800      1.89e+00    1.86e+00      1.63e-02    1.56e-02      6.61e-02    6.52e-02    8.1e-04
  20900      1.81e+00    1.74e+00      4.84e-03    3.74e-03      6.33e-02    6.09e-02    8.1e-04
  21000      1.83e+00    1.80e+00      1.60e-02    1.62e-02      6.41e-02    6.30e-02    8.1e-04
  21100      1.78e+00    1.66e+00      5.34e-03    5.51e-03      6.24e-02    5.82e-02    8.1e-04
